Frequency (Hz)	Level (dB)
5480.200195	-111.809433
5490.966797	-111.655869
5501.733398	-112.090919
5512.500000	-111.205536
5523.266602	-112.603203
5534.033203	-113.473000
5544.799805	-112.292351
5555.566406	-112.154404
5566.333008	-114.577011
5577.099609	-114.179970
5587.866211	-113.705261
5598.632812	-112.294968
5609.399414	-113.854027
5620.166016	-115.548691
5630.932617	-114.662430
5641.699219	-115.277374
5652.465820	-114.535095
5663.232422	-114.021416
5673.999023	-114.073471
5684.765625	-112.861542
5695.532227	-114.826057
5706.298828	-113.966187
5717.065430	-113.442101
5727.832031	-114.101227
5738.598633	-112.672836
5749.365234	-112.815773
5760.131836	-111.528717
5770.898438	-110.531853
5781.665039	-110.929604
5792.431641	-112.749748
5803.198242	-111.944908
5813.964844	-109.972237
5824.731445	-111.693718
5835.498047	-113.115143
5846.264648	-113.316925
5857.031250	-111.832199
5867.797852	-113.543472
5878.564453	-113.815430
5889.331055	-112.713112
5900.097656	-111.647606
5910.864258	-112.881210
5921.630859	-113.921913
5932.397461	-114.114632
5943.164062	-114.335495
5953.930664	-114.762512
5964.697266	-113.917191
5975.463867	-112.735390
5986.230469	-112.575272
5996.997070	-113.774529
6007.763672	-113.848610
6018.530273	-113.885529
6029.296875	-111.472450
6040.063477	-111.452454
6050.830078	-112.060013
6061.596680	-111.519035
6072.363281	-110.357491
6083.129883	-112.125793
6093.896484	-112.787132
6104.663086	-109.503906
6115.429688	-108.073479
6126.196289	-109.998802
6136.962891	-112.090599
6147.729492	-111.850998
6158.496094	-110.911972
6169.262695	-111.675674
6180.029297	-113.193832
6190.795898	-112.400597
6201.562500	-109.702271
6212.329102	-111.302155
6223.095703	-113.012329
6233.862305	-112.364128
6244.628906	-111.423317
6255.395508	-112.938324
6266.162109	-113.453804
6276.928711	-114.316643
6287.695312	-113.898201
6298.461914	-114.128929
6309.228516	-114.394569
6319.995117	-114.518059
6330.761719	-114.726707
6341.528320	-114.747986
6352.294922	-113.948547
6363.061523	-114.299889
6373.828125	-114.074661
6384.594727	-113.594315
6395.361328	-113.381805
6406.127930	-112.511803
6416.894531	-111.507515
6427.661133	-111.725861
6438.427734	-113.459000
6449.194336	-112.271873
6459.960938	-112.344261
6470.727539	-114.494354
6481.494141	-114.199219
6492.260742	-112.891624
6503.027344	-112.603249
6513.793945	-113.040779
6524.560547	-112.236603
6535.327148	-111.580467
6546.093750	-109.376091
6556.860352	-111.166664
6567.626953	-112.044624
6578.393555	-110.992729
6589.160156	-110.920227
6599.926758	-110.943451
6610.693359	-110.428726
6621.459961	-111.707611
6632.226562	-111.487160
6642.993164	-111.811234
6653.759766	-110.831772
6664.526367	-109.612579
6675.292969	-110.348236
6686.059570	-111.123344
6696.826172	-112.296455
6707.592773	-112.317467
6718.359375	-110.709000
6729.125977	-110.943329
6739.892578	-110.285439
6750.659180	-109.015739
6761.425781	-109.420250
6772.192383	-110.705849
6782.958984	-110.858421
6793.725586	-112.241623
6804.492188	-110.788857
6815.258789	-110.776711
6826.025391	-111.692703
6836.791992	-110.242149
6847.558594	-109.209457
6858.325195	-111.107140
6869.091797	-111.307617
6879.858398	-110.234535
6890.625000	-106.725609
6901.391602	-109.958710
6912.158203	-110.466576
6922.924805	-109.364136
6933.691406	-109.159927
6944.458008	-111.328697
6955.224609	-111.415756
6965.991211	-111.684898
6976.757812	-111.665321
6987.524414	-111.616653
6998.291016	-110.788979
7009.057617	-110.789230
7019.824219	-110.306892
7030.590820	-111.376480
7041.357422	-112.570923
7052.124023	-112.035881
7062.890625	-110.864746
7073.657227	-111.993980
7084.423828	-110.338577
7095.190430	-109.943672
7105.957031	-110.464600
7116.723633	-111.405006
7127.490234	-112.460083
7138.256836	-111.705475
7149.023438	-111.614464
7159.790039	-112.889618
7170.556641	-111.770599
7181.323242	-110.882256
7192.089844	-108.957573
7202.856445	-111.416725
7213.623047	-113.208542
7224.389648	-112.792404
7235.156250	-113.314659
7245.922852	-112.847267
7256.689453	-113.484688
7267.456055	-112.053230
7278.222656	-110.160591
7288.989258	-111.299675
7299.755859	-110.980118
7310.522461	-109.417664
7321.289062	-110.894707
7332.055664	-111.406425
7342.822266	-112.141602
7353.588867	-110.981110
7364.355469	-110.877823
7375.122070	-112.265488
7385.888672	-112.105537
7396.655273	-112.103683
7407.421875	-112.080132
7418.188477	-111.366249
7428.955078	-111.246742
7439.721680	-111.114937
7450.488281	-110.922874
7461.254883	-112.221542
7472.021484	-112.156731
7482.788086	-111.188614
7493.554688	-112.024818
7504.321289	-111.641533
7515.087891	-113.032433
7525.854492	-111.774429
7536.621094	-109.705841
7547.387695	-111.303368
7558.154297	-110.860168
7568.920898	-110.197723
7579.687500	-109.244804
7590.454102	-109.467659
7601.220703	-111.513878
7611.987305	-110.773224
7622.753906	-108.083168
7633.520508	-110.810608
7644.287109	-114.472069
7655.053711	-113.027824
7665.820312	-112.459129
7676.586914	-113.502792
7687.353516	-114.000000
7698.120117	-112.048561
7708.886719	-112.298004
7719.653320	-114.720169
7730.419922	-115.010902
7741.186523	-113.578766
7751.953125	-112.496429
7762.719727	-113.435966
7773.486328	-111.281120
7784.252930	-110.205986
7795.019531	-110.340828
7805.786133	-111.567459
7816.552734	-111.725464
7827.319336	-112.079422
7838.085938	-111.998108
7848.852539	-112.263290
7859.619141	-112.601250
7870.385742	-112.513504
7881.152344	-110.259354
7891.918945	-111.371429
7902.685547	-112.164688
7913.452148	-111.619370
7924.218750	-111.591309
7934.985352	-111.725479
7945.751953	-111.375900
7956.518555	-109.501213
7967.285156	-108.227943
7978.051758	-110.508606
7988.818359	-111.721054
7999.584961	-111.488770
8010.351562	-112.374756
8021.118164	-111.520935
8031.884766	-111.447121
8042.651367	-110.558556
8053.417969	-108.645874
8064.184570	-110.782784
8074.951172	-112.399574
8085.717773	-111.561127
8096.484375	-111.763054
8107.250977	-112.381660
8118.017578	-113.083153
8128.784180	-111.808876
8139.550781	-110.318565
8150.317383	-112.562057
8161.083984	-111.312859
8171.850586	-110.393387
8182.617188	-110.258881
8193.383789	-110.451820
8204.150391	-111.086357
8214.916992	-110.065613
8225.683594	-107.573311
8236.450195	-110.017578
8247.216797	-110.104263
8257.983398	-109.121208
8268.750000	-107.115829
8279.516602	-108.150513
8290.283203	-111.315277
8301.049805	-111.737045
8311.816406	-110.639030
8322.583008	-113.372337
8333.349609	-114.904343
8344.116211	-111.982948
8354.882812	-110.339333
8365.649414	-112.041893
8376.416016	-113.257980
8387.182617	-111.957504
8397.949219	-110.078522
8408.715820	-111.891243
8419.482422	-112.332436
8430.249023	-112.779259
8441.015625	-111.193962
8451.782227	-111.584206
8462.548828	-112.392319
8473.315430	-111.354500
8484.082031	-108.731590
8494.848633	-111.097107
8505.615234	-110.887421
8516.381836	-109.722580
8527.148438	-110.933113
8537.915039	-111.213631
8548.681641	-111.435226
8559.448242	-110.994362
8570.214844	-109.268997
8580.981445	-111.755142
8591.748047	-113.005508
8602.514648	-112.885902
8613.281250	-111.285683
8624.047852	-111.686203
8634.814453	-111.938576
8645.581055	-111.016579
8656.347656	-109.160118
8667.114258	-110.210655
8677.880859	-110.553574
8688.647461	-109.795059
8699.414062	-108.837723
8710.180664	-109.161194
8720.947266	-111.442322
8731.713867	-112.421295
8742.480469	-109.966698
8753.247070	-109.496590
8764.013672	-109.567596
8774.780273	-110.500427
8785.546875	-110.130730
8796.313477	-110.090973
8807.080078	-112.590958
8817.846680	-112.332634
8828.613281	-111.451004
8839.379883	-112.012909
8850.146484	-112.416435
8860.913086	-111.714272
8871.679688	-111.158340
8882.446289	-111.269745
8893.212891	-112.050476
8903.979492	-111.473053
8914.746094	-108.700188
8925.512695	-110.482956
8936.279297	-111.961128
8947.045898	-110.533592
8957.812500	-110.164940
8968.579102	-110.914787
8979.345703	-112.961250
8990.112305	-113.633331
9000.878906	-110.129044
9011.645508	-110.137329
9022.412109	-112.721710
9033.178711	-111.609634
9043.945312	-111.229393
9054.711914	-112.095573
9065.478516	-112.178001
9076.245117	-110.715340
9087.011719	-109.432716
9097.778320	-110.347145
9108.544922	-111.306915
9119.311523	-111.345436
9130.078125	-112.589561
9140.844727	-113.885399
9151.611328	-111.901917
9162.377930	-110.223122
9173.144531	-111.529930
9183.911133	-112.870903
9194.677734	-112.350616
9205.444336	-112.997772
9216.210938	-112.149971
9226.977539	-112.786697
9237.744141	-112.741127
9248.510742	-111.750328
9259.277344	-110.748978
9270.043945	-111.723526
9280.810547	-112.384705
9291.577148	-111.062798
9302.343750	-110.833176
9313.110352	-110.632820
9323.876953	-110.432899
9334.643555	-110.373260
9345.410156	-110.221924
9356.176758	-111.264771
9366.943359	-111.206985
9377.709961	-112.012215
9388.476562	-111.456276
9399.243164	-111.463943
9410.009766	-112.098450
9420.776367	-111.605263
9431.542969	-111.089478
9442.309570	-111.729576
9453.076172	-111.876381
9463.842773	-112.276405
9474.609375	-112.576546
9485.375977	-112.321983
9496.142578	-110.662407
9506.909180	-110.803291
9517.675781	-109.911423
9528.442383	-110.693245
9539.208984	-112.933296
9549.975586	-112.990913
9560.742188	-112.974380
9571.508789	-114.190811
9582.275391	-113.247223
9593.041992	-112.288483
9603.808594	-111.018127
9614.575195	-111.714310
9625.341797	-111.540268
9636.108398	-110.921921
9646.875000	-109.645905
9657.641602	-111.203941
9668.408203	-111.196831
9679.174805	-111.183197
9689.941406	-110.904663
9700.708008	-112.929825
9711.474609	-113.289276
9722.241211	-113.193115
9733.007812	-111.823883
9743.774414	-112.822998
9754.541016	-113.631737
9765.307617	-112.032997
9776.074219	-111.032074
9786.840820	-111.472778
9797.607422	-112.785370
